Year,Month,stn_Pr,stn_ETo,stn_SR,cdb_Pr,cdb_ETo,cdb_SR,stn_Tmax,stn_Tmin,stn_RHmax,stn_RHmin,stn_WSmean,cdb_Tmax,cdb_Tmin,cdb_RHmax,cdb_RHmin,cdb_WSmean
2003,3,96.1,102.05724000523016,443.06,113.6,104.15,476.41,27.59090909090909,10.727272727272727,86.78181818181818,29.29090909090909,2.0604545454545455,26.61818181818182,12.367727272727272,69.38545454545455,35.84227272727273,2.1777272727272727
2003,4,0.0,17.224747918180537,83.47,0.0,17.990000000000002,93.94,26.380000000000003,6.9,81.5,19.740000000000002,1.4899999999999998,25.387999999999998,9.526,73.122,24.574,1.64
2003,5,0.0,6.684137259332665,44.23,0.0,7.12,44.28,21.366666666666664,-1.3,77.43333333333334,16.766666666666666,1.0833333333333333,19.773333333333333,2.466666666666667,63.553333333333335,21.30333333333333,1.4799999999999998
2003,6,0.0,8.310033670868346,54.98,0.0,8.11,54.379999999999995,17.55,-2.0,85.92500000000001,23.825,1.51,16.7225,0.9425,76.385,26.162499999999998,1.505
2003,7,0.0,2.820172187611199,13.89,0.0,3.24,14.77,23.9,2.5,50.3,14.0,1.24,23.28,5.45,42.2,19.61,1.84
2003,8,6.3,107.26434052753697,500.29,11.66,107.43,516.41,19.65,0.26666666666666666,74.74333333333334,19.633333333333333,2.452,19.322333333333333,3.3296666666666668,62.653,22.119333333333334,2.622
2003,9,30.4,145.2854100381606,575.29,25.2,148.42,620.29,24.7,5.173333333333333,73.83333333333333,18.94,2.6623333333333337,24.669,8.451,55.00366666666666,20.836666666666666,2.658333333333333
2003,10,7.6,11.733909951828469,42.760000000000005,9.31,10.239999999999998,42.42,29.799999999999997,12.850000000000001,94.4,23.299999999999997,2.69,28.575000000000003,15.709999999999999,77.68,33.505,1.98
2003,11,0.0,36.91353850524022,152.42,1.46,37.83,157.84,29.02,11.540000000000001,83.0,15.12,2.896,29.644,12.841999999999999,59.013999999999996,14.187999999999999,2.722
2003,12,20.4,60.422354554409495,240.4,55.980000000000004,57.75,248.49,28.855555555555554,13.466666666666667,90.69999999999999,24.133333333333333,3.351111111111111,28.195555555555554,14.545555555555556,66.14777777777778,29.203333333333333,2.79
2004,1,5.6,35.815012911240984,132.98,5.0600000000000005,36.54,136.26,32.32,17.32,86.56,24.66,3.044,32.884,18.304000000000002,61.288,25.15,2.738
2004,2,74.0,155.98903316472334,662.18,70.66,163.1,703.06,28.93103448275862,14.851724137931035,90.43793103448276,32.63103448275862,1.98,29.194137931034483,16.094137931034485,73.42931034482758,33.282758620689656,1.94
2004,3,73.8,130.7154913350653,601.56,112.37,126.12,613.07,26.506451612903227,12.841935483870968,94.03225806451613,40.0516129032258,1.9735483870967743,25.280967741935484,13.831290322580644,81.92322580645161,46.910000000000004,1.9803225806451612
2004,4,32.0,96.55038717128264,529.48,35.32,101.57,544.19,24.08,8.043333333333333,93.55333333333333,34.63333333333333,1.4806666666666668,23.392,10.245000000000001,78.762,39.80433333333334,1.8590000000000002
2004,5,0.0,77.48867153040838,475.55,0.53,86.58,464.39,23.36774193548387,3.4322580645161294,82.51290322580645,21.916129032258063,1.1261290322580646,22.32709677419355,7.372580645161291,67.83903225806452,26.300967741935484,1.6561290322580644
2004,9,33.8,90.28539240423078,369.08,48.75,111.56,500.53,23.8875,4.8,77.08749999999999,20.016666666666666,1.7375,23.245416666666667,7.070833333333333,56.126666666666665,22.719583333333333,2.60875
2004,10,13.9,161.84377520494158,732.02,32.44,175.87,739.7,27.216129032258067,9.235483870967743,83.37741935483871,20.396774193548385,1.77,26.504193548387097,11.56516129032258,58.61064516129032,24.463548387096775,2.4574193548387098
2004,11,17.200000000000003,201.62435781482827,803.33,23.54,221.14000000000001,810.82,32.483333333333334,14.43,75.14,14.83,1.926,31.646,16.283,47.56133333333333,18.509,2.6839999999999997
2004,12,66.0,202.49829121058963,838.2,89.55,212.28,852.08,31.287096774193547,15.303225806451612,88.45483870967742,22.88064516129032,1.947741935483871,30.55870967741935,16.28290322580645,69.59709677419356,27.89032258064516,2.6632258064516128
2005,1,26.3,78.35822259575498,570.01,60.410000000000004,149.48,580.71,32.63809523809524,16.772727272727273,83.54285714285714,17.28181818181818,2.105714285714286,31.665238095238095,17.32761904761905,67.95095238095239,27.979523809523812,2.6704761904761902
2005,2,39.5,0.0,627.23,86.99,158.55,667.2,30.20740740740741,,88.41851851851852,,2.1640740740740743,29.610370370370372,16.31037037037037,75.8437037037037,36.82851851851852,2.2448148148148146
2005,3,46.3,0.0,599.5699999999999,83.56,128.54,607.05,27.096551724137928,,93.29310344827586,27.0,1.7806896551724138,25.91689655172414,13.084137931034483,77.3644827586207,40.01137931034482,1.9079310344827585
2005,4,69.4,0.0,520.87,72.4,94.44,512.38,22.466666666666665,,95.52333333333333,,1.8479999999999999,21.986333333333334,9.704,83.949,40.846000000000004,1.9273333333333333
2005,5,20.7,84.27772263896308,485.91,23.799999999999997,83.74,469.8,21.335483870967742,3.9612903225806453,91.42258064516129,28.33225806451613,1.7999999999999998,20.509999999999998,6.2135483870967745,79.0283870967742,31.45967741935484,1.9409677419354838
2005,6,10.8,78.10782388380687,412.26,19.599999999999998,73.09,390.16,19.596666666666668,1.7633333333333332,81.81666666666666,24.85666666666667,2.1516666666666664,18.76833333333333,4.108,71.10166666666667,28.18566666666667,2.090333333333333
2005,7,0.6,83.92749347071322,463.13,0.3,81.14,449.26,20.429032258064513,0.14516129032258066,76.62258064516129,19.14516129032258,1.6829032258064516,19.86193548387097,2.5493548387096774,67.40774193548387,20.970322580645163,1.7454838709677418
2005,8,2.4,133.86747051120358,512.98,43.33,116.51,526.33,22.509677419354837,3.135483870967742,71.15483870967742,19.151612903225807,2.9616129032258067,21.79258064516129,5.580645161290323,63.008709677419354,23.307419354838707,2.4803225806451614
2005,9,6.199999999999999,161.80470324314203,630.7,8.2,157.49,662.26,27.183333333333334,7.3100000000000005,60.36,13.683333333333334,2.4096666666666664,26.860666666666667,9.531333333333333,45.96366666666667,15.759333333333334,2.291
2005,10,91.2,184.64151150202932,677.13,86.45,181.02,730.54,27.316129032258065,10.80967741935484,75.76129032258065,20.887096774193548,3.0580645161290323,27.16483870967742,11.846774193548388,57.99677419354839,25.52741935483871,2.7251612903225806
2005,11,77.6,213.9646767798663,782.84,55.59,204.12,804.41,29.423333333333336,12.503333333333334,81.58,19.473333333333336,3.3333333333333335,28.850666666666665,13.542333333333334,60.73866666666667,22.086333333333336,2.9123333333333337
2005,12,17.299999999999997,248.5431986302651,916.69,25.97,236.28,939.04,31.1,13.958064516129031,75.8741935483871,15.212903225806452,3.1912903225806453,30.372903225806454,14.886774193548387,56.8825806451613,19.779354838709676,2.832258064516129
2006,1,95.8,179.6489925791654,701.52,160.22,160.36,714.41,29.612903225806452,17.458064516129035,91.30322580645162,37.4483870967742,2.6490322580645165,27.868709677419353,17.11741935483871,79.09322580645161,45.11451612903225,2.043548387096774
2006,2,181.7,122.49079408170432,557.56,175.63,118.76,570.97,26.72142857142857,16.685714285714287,96.49642857142858,49.364285714285714,1.7967857142857144,25.590714285714284,15.931071428571428,83.51964285714287,54.38428571428572,1.8571428571428572
2006,3,145.1,118.20998682564328,595.09,90.75,115.42,587.79,24.783870967741933,11.600000000000001,94.76774193548388,42.94193548387097,1.6503225806451614,23.405161290322578,12.190645161290323,79.4190322580645,48.80612903225806,1.9219354838709677
2006,4,40.800000000000004,90.32955421360558,504.24,63.980000000000004,89.62,493.90000000000003,23.066666666666666,8.353333333333333,96.85333333333332,39.596666666666664,1.4546666666666668,21.575333333333333,9.415,84.85866666666666,44.144999999999996,1.8603333333333334
2006,5,13.9,70.92150193405176,464.87,32.44,67.17,443.6,17.951612903225808,1.3096774193548388,95.09032258064516,32.851612903225806,1.743548387096774,16.186451612903223,3.1980645161290324,81.71870967741935,37.48967741935484,2.069032258064516
2006,6,0.0,58.15672582161749,421.18,2.21,66.4,404.31,18.706666666666667,-0.6633333333333333,89.96000000000001,25.38,1.2333333333333334,17.395,1.7263333333333333,78.945,26.953333333333333,1.9093333333333333
2006,7,0.0,84.89737814348497,434.01,4.9399999999999995,83.83,423.85,19.93548387096774,0.432258064516129,80.04516129032258,23.496774193548386,2.0425806451612902,18.813548387096777,3.3767741935483873,63.69225806451613,23.698709677419355,2.1432258064516128
2006,8,41.2,102.81348709666067,504.69,77.81,91.37,471.8,18.503225806451614,3.070967741935484,88.86129032258064,32.08387096774194,3.2077419354838708,17.530645161290323,3.9019354838709677,75.74709677419354,31.94483870967742,2.713225806451613
2006,9,0.3,148.89281161163436,666.22,1.15,140.85,669.63,24.503333333333334,5.4766666666666675,79.13333333333334,17.753333333333334,2.5806666666666667,23.92233333333333,7.148,61.942,20.533333333333335,2.2743333333333333
2006,10,45.3,183.23254285780573,694.08,51.8,171.94,736.52,28.0258064516129,11.009677419354839,84.50967741935484,22.65806451612903,2.9638709677419355,26.90548387096774,11.801612903225807,69.92838709677419,26.09903225806452,2.56
